supplier,externalSku,name,size,abv,unitsPerCase,unit,priceBottleExGst,priceCaseExGst,gstPercent,category,notes
Premium Liquor,,and tested with our BATCHED 725mL bottle range.,725ml,,,bottle,,,15,,
Premium Liquor,,20L Bag in Box,20l,13.9,,bib,,,15,,
Premium Liquor,,725ml | 13.9% ABV,725ml,13.9,,bottle,,,15,,
Premium Liquor,,700mL | 37.5% ABV,700ml,37.5,,bottle,,,15,,
Premium Liquor,,700ml | 40% ABV,700ml,40,,bottle,,,15,,
Premium Liquor,,700mL | 42.5% ABV,700ml,42.5,,bottle,,,15,,
Premium Liquor,,700mL | 43% ABV,700ml,43,,bottle,,,15,,
Premium Liquor,,1L | 37% ABV,1l,37,,bottle,,,15,,
Premium Liquor,,1L | 37.2% ABV,1l,37.2,,bottle,,,15,,
Premium Liquor,,750ml | 13.9% ABV,750ml,13.9,,bottle,,,15,,
Premium Liquor,,725ml | 14% ABV,725ml,14,,bottle,,,15,,
Premium Liquor,,700ml | 33% ABV,700ml,33,,bottle,,,15,,
Premium Liquor,,250ml,250ml,,,bottle,,,15,,
Premium Liquor,,750ml | 13.5% ABV,750ml,13.5,,bottle,,,15,,
Premium Liquor,,750ml,750ml,,,bottle,,,15,,
